Artist,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,release_year,release_month,release_day,Explicit Track
23.0,453.0,72.7,131100973.0,16735.0,42444393.0,0.0,4756180.0,146148.0,-1.0,-1.0,0.0,1563442.0,0.0,1403.0,107.0,14.0,903632.0,-1.0,359758.0,1958.0,9930686.0,307226.0,2024,2,16,1
24.0,3774.0,22.0,4527224.0,392.0,329325.0,-1.0,179686266.0,2633829.0,-1.0,-1.0,-1.0,87239915.0,4.0,278.0,0.0,-1.0,-1.0,2.0,0.0,0.0,0.0,24030.0,2023,6,29,0
25.0,1516.0,0.0,1362614026.0,183645.0,51977530.0,79.0,198079219.0,2252308.0,619185.0,116244737.0,854742783.0,35115195.0,198.0,30988.0,112.0,-1.0,606036.0,-1.0,184904047.0,122165.0,40539247.0,4584343.0,2017,8,25,0
26.0,4250.0,20.5,6231986.0,602.0,1043775.0,-1.0,219872306.0,1538709.0,84.0,103579.0,676012.0,126984.0,0.0,0.0,-1.0,0.0,0.0,-1.0,7762.0,1165.0,-1.0,0.0,2023,3,3,1
27.0,4149.0,20.8,25149668.0,13174.0,603919.0,48.0,406717108.0,1567948.0,242400.0,41005985.0,987819837.0,551347.0,17.0,282.0,0.0,1.0,56252.0,0.0,-1.0,0.0,-1.0,2098943.0,2021,5,19,0
28.0,465.0,71.38428918964682,343556188.0,53783.0,14916823.0,69.00468547128098,78559130.0,611379.0,30806.0,18533179.0,268283723.0,350881548.0,76.00597877829236,641638.0,220.0,24.99930322864558,1291476.0,38.99399005703342,36438448.0,3704.0,0.0,3723951.0,2022,9,9,0
29.0,4398.0,20.01767848060365,90838757.0,22248.0,2370123.0,53.011247616951984,203958899.0,721936.0,10328.0,586162.0,19777868.0,61468.0,0.0,14924.0,-1.0,0.9959360410285177,26216.0,0.0,-1.0,0.0,0.0,332021.0,2022,6,8,0
30.0,1358.0,40.2,105604106.0,20571.0,4824421.0,56.0,161745200.0,938841.0,1776600.0,145856351.0,1721191403.0,774814.0,0.0,178.0,-1.0,0.0,3434.0,1.0,-1.0,0.0,-1.0,329440.0,2022,12,8,1
31.0,4413.0,19.891979254861237,587054803.0,130991.0,15108911.0,0.0,830977726.0,4575683.0,48128.0,9438211.0,82939552.0,7491045.0,-1.0,20738.0,1.0,78.01478202127319,819839.0,23.007183938142486,13761386.0,20411.0,0.0,7241562.0,2013,5,17,0
32.0,3848.0,21.7,259405297.0,46330.0,19899069.0,0.0,68379159.0,772098.0,19000.0,11752918.0,71844871.0,128587546.0,49.0,66137.0,714.0,37.0,415938.0,8.0,38644659.0,11582.0,4737504.0,1255610.0,2021,9,24,0
33.0,4421.0,-1.0,435823355.0,34658.0,14268149.0,-1.0,284536285.0,3411827.0,565243.0,137186669.0,1021702238.0,28.0,27.0,1664.0,-1.0,7.0,116569.0,8.0,4427847.0,6097.0,0.0,733704.0,2020,10,2,0
34.0,2612.0,27.6,382177076.0,65369.0,34887197.0,66.0,78537068.0,806081.0,146179.0,60677641.0,629205287.0,968287446.0,46.0,105931.0,115.0,22.0,651078.0,14.0,27159277.0,7396.0,-1.0,1864419.0,2021,10,15,0
35.0,595.0,62.1,1099019265.0,107383.0,57705968.0,78.0,1230683305.0,4830196.0,632899.0,113529720.0,973281040.0,123499549.0,104.0,31013.0,38.0,23.0,1915136.0,35.0,63698595.0,14450.0,-1.0,1948311.0,2020,6,12,0
36.0,3169.0,24.5,104897425.0,27545.0,20350869.0,64.0,13379053.0,149424.0,0.0,-1.0,-1.0,-1.0,14.0,11802.0,246.0,1.0,223.0,-1.0,1100545.0,1464.0,0.0,616738.0,2023,8,4,1
17.0,3222.0,24.316544449979265,170941932.0,73853.0,8684961.0,61.999565008073695,68412662.0,574589.0,27400.0,12640222.0,101411557.0,307396103.0,17.005469016601133,38519.0,261.0,5.998497646104912,59038.0,5.984903208411483,9902950.0,4623.0,-1.0,824789.0,2022,1,7,1
37.0,3563.0,22.787349874865214,733931275.0,115255.0,27152345.0,71.00766691848538,535024991.0,4702620.0,293382.0,6037735.0,47138593.0,376872478.0,26.979491201871394,20296.0,138.0,22.00934065266777,58749.0,4.002638781466365,499999791.0,176815.0,-1.0,6889166.0,2014,1,1,0
38.0,2310.0,0.0,0.0,3.0,10.0,2.0124006891304598,-1.0,-1.0,2200000.0,62055632.0,1572668280.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,2023,3,7,0
39.0,3656.0,-1.0,15333864.0,1439.0,35368637.0,70.99302232312107,11215883.0,86574.0,121600.0,-1.0,-1.0,3407832.0,5.991487318724129,190.0,0.0,4.999546021115484,555882.0,0.9981721356125176,-1.0,0.0,0.0,122965.0,2024,3,24,0
40.0,2462.0,28.7,412597562.0,80841.0,20936024.0,66.0,209120821.0,1034481.0,54784.0,15795689.0,201664757.0,101896667.0,76.0,17486.0,63.0,14.0,26817.0,-1.0,6085764.0,2044.0,0.0,917173.0,2021,9,2,0
41.0,1395.0,39.7,428110164.0,67602.0,15209777.0,-1.0,1517036583.0,14141233.0,2369610.0,157496340.0,1924971468.0,342164180.0,-1.0,8689.0,-1.0,0.0,173266.0,18.0,24331598.0,26516.0,0.0,3283494.0,2017,9,15,0
42.0,2611.0,27.607560978274506,737482160.0,55335.0,17510051.0,0.0,419937796.0,4019192.0,3214979.0,189904593.0,2189766597.0,207282014.0,51.984698125208155,19601.0,-1.0,25.016510420375567,52812.0,16.003307521477613,22073894.0,13492.0,-1.0,4647023.0,2018,8,2,0
43.0,2872.0,-1.0,209635991.0,54470.0,8885780.0,71.0,26381437.0,281014.0,161246.0,24563445.0,231239811.0,12295099.0,-1.0,99987.0,102.0,3.0,29711.0,13.0,23457347.0,11141.0,1923886.0,832908.0,2022,2,25,0
44.0,865.0,52.2,330593989.0,54823.0,16021571.0,67.0,175561257.0,2216240.0,296115.0,22320319.0,270169817.0,224863549.0,53.0,176130.0,21.0,61.0,1631239.0,37.0,6555059.0,1735.0,-1.0,4266103.0,2022,10,7,0
45.0,2424.0,28.9,227893586.0,28139.0,12480714.0,73.0,30913276.0,159791.0,77661.0,13324305.0,117505652.0,238206228.0,33.0,129172.0,34.0,-1.0,1370.0,49.0,56972562.0,26968.0,1336043.0,708143.0,2022,9,2,0
46.0,3162.0,24.5,1445950326.0,185843.0,59242561.0,74.0,248178591.0,2292757.0,174645.0,115612448.0,984530315.0,-1.0,102.0,158891.0,453.0,86.0,600026.0,31.0,-1.0,-1.0,32936048.0,19991903.0,2013,1,1,0
47.0,864.0,0.0,89513100.0,8049.0,60410593.0,-1.0,38613955.0,433335.0,0.0,14000.0,52800.0,547710147.0,51.00689791228303,20.0,1471.0,-1.0,1244194.0,-1.0,20163317.0,8711.0,3187345.0,446156.0,2024,2,8,1
48.0,3142.0,24.6,526025120.0,46184.0,9102818.0,67.0,160959114.0,2763162.0,1041041.0,242823183.0,2209200556.0,20176409.0,0.0,4952.0,-1.0,2.0,9765.0,20.0,2469664.0,1944.0,-1.0,819536.0,2021,7,9,0
49.0,2869.0,0.0,9244547.0,925.0,8931821.0,69.00352988166557,12781421.0,82897.0,0.0,0.0,-1.0,0.0,0.9820367939184874,91.0,0.0,1.0019628398139837,231785.0,0.0,0.0,-1.0,-1.0,10458.0,2024,5,16,0
50.0,1194.0,43.4,426936498.0,118020.0,24734503.0,74.0,124386115.0,2134071.0,34724.0,16024927.0,186922543.0,1303000868.0,48.0,13141.0,122.0,21.0,357536.0,45.0,8689010.0,3163.0,0.0,1452569.0,2022,5,13,1
51.0,765.0,-1.0,432988420.0,32294.0,28454994.0,66.99624130006306,194658217.0,1261625.0,633280.0,45475847.0,750998497.0,9725361.0,35.014576160318995,22768.0,31.0,13.995840265087548,1229279.0,24.982875916943527,33073012.0,10830.0,-1.0,1407776.0,2023,4,7,0
52.0,4056.0,21.1,2574126.0,400.0,134449.0,27.0,1033803791.0,4709012.0,158.0,16676.0,2785871.0,100641302.0,4.0,150.0,0.0,-1.0,-1.0,2.0,462916.0,-1.0,-1.0,17003.0,2018,8,17,0
53.0,2328.0,29.59627774910352,312942305.0,20231.0,4756698.0,62.01365997557204,386459691.0,4716534.0,107047.0,152757714.0,1245609565.0,62900174.0,19.014806139382006,2852.0,218.0,2.9890958549873528,2892.0,19.01275179249086,-1.0,-1.0,0.0,-1.0,2022,5,2,0
54.0,1547.0,37.3,427842597.0,59365.0,26456238.0,66.0,103306657.0,870677.0,21809.0,10011741.0,92071601.0,843106.0,27.0,11285.0,11.0,-1.0,2170401.0,0.0,19800808.0,3028.0,-1.0,688397.0,2022,12,22,1
55.0,1425.0,39.0,114947522.0,20245.0,36960349.0,0.0,16861339.0,252500.0,-1.0,0.0,-1.0,173158285.0,24.0,22363.0,476.0,20.0,4484645.0,54.0,8366917.0,8436.0,0.0,713489.0,2023,12,8,1
56.0,4211.0,20.6,261975922.0,21887.0,4773032.0,66.0,134202748.0,1512168.0,199453.0,8277557.0,146849902.0,4244389.0,14.0,512.0,0.0,-1.0,-1.0,-1.0,28352.0,43.0,-1.0,240426.0,2022,9,9,0
57.0,1382.0,39.8,422186660.0,12509.0,19653160.0,79.0,111977553.0,5607295.0,309947.0,60752690.0,296725035.0,243714840.0,-1.0,17017.0,0.0,9.0,1696802.0,-1.0,1642033.0,622.0,-1.0,16922782.0,2022,10,28,0
58.0,3388.0,23.613318437027456,743015700.0,133098.0,31345611.0,77.00404961736567,177148832.0,2616878.0,199978.0,173568712.0,1004422009.0,330.0,13.99903443338743,647.0,250.0,-1.0,-1.0,28.98629617250533,4304887.0,16043.0,12250564.0,1821714.0,2018,8,17,0
59.0,1213.0,-1.0,578061816.0,190490.0,26875379.0,67.0,261251373.0,2123833.0,180506.0,25346506.0,259813719.0,4811371.0,28.0,34512.0,121.0,10.0,7293.0,0.0,111230354.0,29805.0,0.0,2481910.0,2020,7,20,1
60.0,65.0,181.4,199929812.0,4.0,98.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,390345308.0,399793.0,-1.0,-1.0,2024,3,29,1
61.0,3772.0,22.016110619732835,8033479.0,1347.0,7618938.0,70.00485415131165,1247875.0,50363.0,0.0,-1.0,-1.0,0.0,11.010747483107167,133.0,-1.0,5.989775529734593,2740152.0,0.0,-1.0,-1.0,0.0,11608.0,2024,5,30,1
62.0,2717.0,0.0,982424606.0,140455.0,29753134.0,63.0,123104265.0,916112.0,212758.0,13785747.0,172191863.0,1009012.0,24.0,42470.0,421.0,12.0,18818.0,25.0,356636322.0,99595.0,-1.0,2879816.0,2018,2,9,1
63.0,1396.0,39.7,224285122.0,23891.0,5328396.0,-1.0,171821740.0,3263544.0,3250466.0,181066454.0,1829158410.0,11752273.0,9.0,8636.0,23.0,-1.0,0.0,8.0,75877.0,144.0,0.0,869565.0,2022,2,15,0
64.0,3398.0,23.5,348372811.0,52893.0,6523487.0,69.0,106600063.0,684118.0,25900.0,16462263.0,154007395.0,99252847.0,12.0,1956.0,-1.0,0.0,0.0,0.0,8024673.0,1451.0,-1.0,400999.0,2022,5,6,0
23.0,2832.0,0.0,48790265.0,26044.0,5580526.0,58.99006059652865,11963045.0,259674.0,-1.0,239969.0,2309009.0,191102695.0,6.019243569480701,242.0,56.0,1.981775441113587,43891.0,0.0,230247.0,-1.0,5094725.0,158531.0,2023,8,10,0
21.0,2364.0,29.3,176958728.0,14482.0,10063839.0,-1.0,81376781.0,379156.0,9269.0,308866.0,2498673.0,0.0,10.0,2.0,-1.0,9.0,1545158.0,-1.0,220742.0,128.0,390228.0,308713.0,2023,9,22,1
